,YearsCode,ConvertedCompYearly
10277,5,
10279,19,
10280,4,
10281,2,
10282,20,1200000.0
10283,7,92000.0
10284,30,
10285,21,
10286,15,
10288,6,
10289,6,
10290,5,
10291,8,4236.0
10292,2,
10294,12,
10296,9,154000.0
10297,3,105000.0
10298,5,72000.0
10300,7,
10301,7,
10302,4,
10303,5,
10304,13,140000.0
10305,9,25131.0
10306,15,80169.0
10307,3,
10308,28,
10309,12,
10310,10,108000.0
10311,17,135000.0
10313,25,
10314,8,
10315,10,
10316,10,
10317,4,
10318,7,41597.0
10319,11,52500.0
10320,21,
10321,20,80172.0
10322,22,190000.0
10323,7,50600.0
10324,4,155000.0
10325,29,226894.0
10326,6,70000.0
10327,8,
10328,9,
10329,8,
10330,15,33552.0
10331,18,800000.0
10332,5,
10333,1,
10334,2,
10335,20,
10336,21,69809.0
10337,5,57480.0
10338,12,73000.0
10339,10,18876.0
10340,13,
10341,16,20244.0
10342,15,
10343,19,21708.0
10344,30,230000.0
10345,14,175000.0
10346,4,
10347,4,
10348,13,70152.0
10349,25,66810.0
10350,10,
10351,10,
10352,15,49712.0
10353,9,34596.0
10354,15,
10355,7,30000.0
10356,18,25131.0
10357,6,
10358,4,
10359,6,11868.0
10360,35,120257.0
10361,13,22339.0
10362,16,33972.0
10364,5,
10365,30,135000.0
10366,10,8986.0
10368,22,145000.0
10369,14,
10370,47,105900.0
10371,19,275000.0
10372,35,10350000.0
10373,40,120000.0
10374,9,4980.0
10375,10,70337.0
10377,15,
10378,12,42000.0
10379,39,120000.0
10380,40,170000.0
10381,31,60396.0
10382,38,90758.0
10383,3,29343.0
10385,13,180000.0
10386,6,55000.0
10387,11,
10388,8,
10389,8,500000.0
10390,22,173705.0
10392,2,
10394,1,
10395,8,
10396,3,
10397,9,106640.0
10399,20,140000.0
10400,16,210000.0
10401,11,12566.0
10402,7,
10404,12,174000.0
10405,25,71000.0
10406,6,76960.0
10407,2,33840.0
10408,4,69581.0
10411,11,
10412,9,38916.0
10413,9,300000.0
10414,12,
10415,11,24540.0
10417,5,
10418,15,50262.0
10419,8,
10420,3,29196.0
10421,39,
10424,5,
10425,3,
10426,39,
10427,8,20659.0
10429,14,73000.0
10430,8,
10431,2,1800.0
10432,21,36180.0
10433,40,135000.0
10434,10,16754.0
10435,10,
10436,35,125000.0
10437,20,280000.0
10438,17,80936.0
10439,8,
10440,16,65421.0
10441,6,
10442,13,592000.0
10443,7,69001.0
10444,15,8292.0
10445,40,150000.0
10446,15,75631.0
10447,17,80000.0
10448,4,7248.0
10449,21,
10450,24,
10451,10,67020.0
10452,9,135000.0
10453,5,
10454,10,
10455,10,190000.0
10456,4,27492.0
10457,13,
10458,3,
10459,21,145000.0
10460,10,
10461,11,136136.0
10462,5,
10463,24,238000.0
10464,10,
10465,5,123000.0
10466,10,
10467,20,160000.0
10468,12,70264.0
10469,20,120000.0
10470,25,165000.0
10471,30,155664.0
10472,3,2508.0
10473,6,2856.0
10474,10,
10475,9,
10476,8,
10478,6,65000.0
10479,4,
10481,6,15108.0
10482,3,
10483,31,58392.0
10484,18,133619.0
10487,14,34904.0
10488,8,19884.0
10489,8,50107.0
10490,25,72000.0
10492,11,
10493,13,14381.0
10495,10,25131.0
10496,1,
10497,5,
10498,7,
10499,9,60432.0
10500,5,35024.0
10501,22,211000.0
10502,5,
10503,6,9773.0
10504,17,18876.0
10505,6,4728.0
10507,8,19224.0
10508,4,
10509,6,8831.0
10510,4,
10511,10,
10512,37,500000.0
10513,10,19236.0
10514,6,13464.0
10515,14,25131.0
10516,16,1500000.0
10517,8,
10518,13,60000.0
10519,3,
10520,5,
10521,2,60000.0
10522,7,56341.0
10523,15,60576.0
10524,17,75000.0
10525,12,72636.0
10526,15,28308.0
10527,36,520000.0
10528,39,
10529,1,
10530,19,310000.0
10531,30,
10532,1,
10533,1,16104.0
10534,10,
10535,5,6600.0
10536,9,34740.0
10537,7,102800.0
10538,21,300643.0
10539,7,4860.0
10541,3,
10542,15,60035.0
10543,5,
10544,30,129718.0
10545,24,108098.0
10546,25,105559.0
10547,10,66810.0
10548,22,67084.0
10549,26,
10550,12,21990.0
10551,10,
10552,10,140000.0
10554,13,110000.0
10555,6,75631.0
10556,26,151263.0
10557,23,15000.0
10558,21,230000.0
10559,9,
10560,1,
10561,7,125000.0
10562,7,52186.0
10563,8,
10564,14,125000.0
10565,3,
10566,20,120000.0
10567,24,113100.0
10568,7,
10569,25,18720.0
10570,30,80172.0
10571,9,
10572,6,
10573,15,12648.0
10574,6,
10575,13,90000.0
10576,8,
10577,9,168000.0
10578,8,20050.0
10579,11,80172.0
10580,16,31579.0
10581,25,
10582,13,100728.0
10583,20,
10584,4,
10585,6,9075.0
10586,13,116900.0
10587,20,35328.0
10588,15,107915.0
10589,40,
10590,8,6696.0
10591,14,400000.0
10592,12,30716.0
10593,7,150000.0
10594,20,100000.0
10595,3,
10596,12,120257.0
10597,30,75631.0
10598,6,140000.0
10599,4,1500000.0
10600,1,
10601,23,
10602,22,140000.0
10603,12,11544.0
10604,4,72000.0
10605,5,
10607,17,
10608,10,95000.0
10609,5,
10610,3,
10611,18,39093.0
10612,15,15358.0
10613,3,
10614,17,5700.0
10616,25,304500.0
10617,20,51744.0
10618,20,778308.0
10619,27,
10620,14,
10623,11,
10624,6,
10625,20,132000.0
10627,12,200000.0
10628,3,
10629,13,190000.0
10630,25,70000.0
10631,7,4189.0
10632,10,21579.0
10633,12,
10634,1,
10636,6,75669.0
10637,35,96204.0
10638,7,
10639,8,91600.0
10640,7,125000.0
10641,15,
10642,17,60000.0
10643,1,
10644,6,
10645,15,180000.0
10646,5,331417.0
10647,6,54306.0
10648,30,
10649,5,
10650,14,35628.0
10651,4,
10652,10,60505.0
10653,12,
10654,10,12564.0
10655,17,25128.0
10656,11,52112.0
10657,15,14124.0
10658,11,
10659,8,
10660,2,18000.0
10661,5,6702.0
10662,12,57480.0
10663,30,60129.0
10664,4,
10665,6,
10666,17,200000.0
10667,8,58260.0
10668,6,2856.0
10669,12,
10670,5,5000000.0
10671,3,51444.0
10672,4,
10673,9,12108.0
10674,10,
10675,6,60505.0
10676,23,
10677,10,865000.0
10679,10,
10680,12,41880.0
10681,20,
10683,12,
10684,13,
10685,6,
10686,12,25131.0
10687,13,25000.0
10688,3,
10689,19,200000.0
10690,7,9696.0
10691,10,
10692,4,11544.0
10693,7,
10694,8,
10695,10,62828.0
10696,5,
10697,4,
10698,10,
10699,10,
10700,8,
10701,20,65000.0
10702,16,
10703,3,
10704,5,
10705,2,
10706,1,15960.0
10707,10,13404.0
10708,1,
10709,22,125000.0
10712,3,6228.0
10713,6,8377.0
10714,4,
10715,10,51440.0
10716,8,60129.0
10717,2,
10718,13,19968.0
10719,12,
10720,6,
10721,12,
10722,11,
10723,16,25198.0
10724,9,
10725,12,92484.0
10726,20,
10727,38,
10728,24,
10729,25,
10730,10,8220.0
10731,9,30716.0
10732,40,
10733,16,236726.0
10734,40,
10735,8,13962.0
10736,15,
10737,4,32000.0
10740,9,49974.0
10741,14,
10743,3,
10744,6,
10746,10,31356.0
10747,15,93000.0
10748,35,120000.0
10749,13,132000.0
10750,2,
10751,3,
10752,11,14268.0
10753,28,
10754,12,
10756,9,75631.0
10757,6,82000.0
10758,12,454008.0
10759,7,
10760,5,
10761,10,125000.0
10762,3,
10763,20,16752.0
10764,4,
10765,13,
10766,10,
10767,11,37056.0
10768,7,
10769,6,5652.0
10770,4,5028.0
10771,5,
10772,5,4800.0
10773,6,
10774,4,70000.0
10775,14,
10776,30,156000.0
10777,40,110236.0
10778,12,140088.0
10779,9,
10780,29,75540.0
10781,4,
10783,25,148648.0
10784,4,
10785,5,
10786,20,51444.0
10787,15,
10788,25,
10789,12,
10790,4,
10791,20,129000.0
10792,9,14604.0
10793,30,86853.0
10794,8,74616.0
10795,12,
10796,5,171408.0
10797,12,
10799,11,
10800,8,46767.0
10801,6,
10802,6,
10803,22,100000.0
10804,5,4850.0
10805,25,255550.0
10806,3,9382.0
10807,8,
10808,21,
10809,7,6636.0
10810,7,7536.0
10811,10,
10812,2,588.0
10813,19,
10814,10,7752.0
10815,1,
10817,10,33963.0
10818,30,133619.0
10819,11,907572.0
10820,5,170000.0
10821,5,15912.0
10822,5,75000.0
10823,10,48562.0
10824,8,105000.0
10825,3,
10826,4,9228.0
10827,23,
10828,7,
10829,8,
10830,6,
10831,10,99000.0
10832,24,13620.0
10833,6,
10834,40,
10835,8,
10836,2,
10837,7,5585.0
10838,14,51888.0
10839,10,
10840,14,19267.0
10841,16,190000.0
10842,23,
10843,28,180000.0
10844,10,
10845,26,100000.0
10846,20,125000.0
10847,8,7764.0
10848,5,
10849,12,70150.0
10851,23,69482.0
10852,15,100000.0
10853,8,
10854,6,
10855,6,5868.0
10856,9,
10857,2,
10858,16,
10859,9,125656.0
10860,25,
10861,10,23735.0
10862,4,90000.0
10863,17,53760.0
10864,8,
10865,19,
10866,20,
10867,23,
10868,12,35000.0
10869,7,
10870,20,
10871,2,
10873,10,
10874,10,210000.0
10876,5,
10877,22,
10878,10,19236.0
10879,3,
10880,20,180000.0
10881,34,82155.0
10882,12,13459.0
10883,15,69809.0
10884,5,42868.0
10885,24,
10886,7,160000.0
10887,5,3888.0
10888,6,9048.0
10890,7,
10892,7,
10893,21,45396.0
10894,7,
10895,7,
10896,8,
10897,9,45600.0
10898,7,10992.0
10899,12,90000.0
10900,8,31356.0
10901,9,15516.0
10902,17,93533.0
10903,4,20943.0
10904,3,
10905,7,24000.0
10906,4,16752.0
10907,27,
10908,13,
10909,13,160000.0
10911,8,
10912,10,65000.0
10914,2,
10915,17,
10916,14,83016.0
10917,16,80922.0
10918,5,
10919,42,135000.0
10920,16,18000.0
10921,2,100000.0
10922,27,65160.0
10923,5,40086.0
10924,7,
10925,12,22339.0
10926,10,106895.0
10927,3,
10928,8,29180.0
10929,12,
10930,19,23712.0
10931,30,230000.0
10932,9,
10933,8,
10934,9,25296.0
10935,15,40086.0
10936,11,7891.0
10937,2,
10938,18,53448.0
10939,14,58368.0
10942,6,71715.0
10943,8,70000.0
10944,8,
10945,4,
10946,10,
10947,10,
10948,2,
10950,6,
10951,12,41612.0
10952,27,88474.0
10953,10,
10954,2,
10955,6,108000.0
10956,6,34904.0
10957,12,
10958,11,60505.0
10959,10,
10960,26,144000.0
10961,20,300000.0
10962,35,68112.0
10963,3,
10964,8,64788.0
10965,4,12312.0
10966,25,80172.0
10967,2,
10968,6,7548.0
10969,27,14155.0
10971,10,
10972,8,55000.0
10973,12,24000.0
10974,9,
10975,4,
10976,4,1752.0
10977,14,16728.0
10978,8,83772.0
10979,4,
10980,11,32429.0
10981,5,5064.0
10982,5,
10983,2,1680.0
10984,14,57000.0
10985,10,72154.0
10986,5,43239.0
10987,9,26700.0
10988,30,36444.0
10989,18,23388.0
10990,10,8040.0
10991,12,120000.0
10992,10,117276.0
10993,6,
10994,7,80000.0
10995,15,
10996,6,110500.0
10997,8,
10998,10,35280.0
10999,25,267239.0
11000,2,
11001,15,
11002,8,
11003,20,
11004,50,962064.0
11005,10,
11006,8,
11007,2,
11008,11,200000.0
11009,8,
11011,49,
11012,25,4872.0
11014,40,98321.0
11015,5,33960.0
11016,6,8376.0
11017,12,20943.0
11018,35,
11019,23,
11020,3,
11021,8,
11022,5,
11023,3,
11024,12,58686.0
11025,4,34360.0
11026,14,4620.0
11027,7,8936.0
11029,7,33732.0
11030,9,
11031,10,250000.0
11032,16,81386.0
11033,33,175000.0
11034,40,64860.0
11035,8,
11036,8,18156.0
11038,7,70308.0
11039,4,
11040,4,
11042,7,63530.0
11044,6,
11045,8,
11046,13,
11047,10,76831.0
11048,6,4944.0
11049,7,161100.0
11050,7,2513.0
11051,10,170000.0
11052,20,33508.0
11053,9,
11054,15,
11055,7,44796.0
11056,13,13962.0
11058,5,
11059,4,
11061,22,111814.0
11062,3,19956.0
11063,11,48000.0
11064,8,5501.0
11065,29,
11067,16,18432.0
11068,3,2508.0
11069,23,510000.0
11070,15,450000.0
11071,14,111814.0
11072,3,
11073,11,
11074,11,
11075,7,11169.0
11076,16,63469.0
11077,12,37697.0
11078,10,85735.0
11079,5,
11080,6,
11081,18,
11082,11,91451.0
11083,9,
11084,14,11220.0
11085,6,
11086,3,
11087,35,97284.0
11088,12,
11089,17,205000.0
11090,3,
11091,3,
11092,8,778308.0
11093,16,
11095,13,
11096,10,151263.0
11097,8,
11098,13,25131.0
11100,5,
11101,5,23472.0
11102,10,12396.0
11103,3,5585.0
11104,15,118908.0
11105,23,
11106,7,
11107,7,
11108,21,250000.0
11109,3,44965.0
11110,2,
11112,8,
11113,10,69809.0
11114,15,86976.0
11117,5,8952.0
11118,5,56124.0
11119,8,75000.0
11120,12,9216.0
11121,8,
11123,10,53055.0
11124,9,
11125,1,
11126,6,
11128,42,142692.0
11129,16,
11130,6,5696.0
11131,8,
11132,15,63469.0
11133,3,42158.0
11134,15,19546.0
11135,23,15084.0
11136,17,102501.0
11137,6,120000.0
11138,5,
11139,10,11169.0
11140,20,64859.0
11141,22,
11142,10,3120.0
11143,6,
11144,10,69800.0
11145,15,76750.0
11146,15,16704.0
11147,23,
11148,20,92832.0
11149,4,5585.0
11150,15,32424.0
11151,27,
11152,18,6367.0
11153,14,86251.0
11154,6,3552.0
11155,1,
11156,5,20943.0
11157,22,207000.0
11158,12,66540.0
11159,13,27025.0
11160,9,
11161,2,
11162,7,11724.0
11163,3,
11164,6,
11165,3,49296.0
11166,6,21192.0
11167,10,
11168,8,120000.0
11169,4,4524.0
11170,10,
11171,3,5028.0
11172,4,
11173,10,20943.0
11174,15,33612.0
11175,3,
11176,12,90000.0
11177,5,16980.0
11178,3,
11179,20,
11180,5,
11181,10,380000.0
11182,12,43572.0
11183,12,
11184,10,
11186,9,32429.0
11187,6,
11188,10,3348.0
11189,3,
11190,12,123598.0
11191,6,
11192,17,16080.0
11193,20,111814.0
11194,28,48852.0
11195,9,10471.0
11196,10,18150.0
11198,12,19546.0
11199,6,402096.0
11200,10,
11201,10,33504.0
11202,20,150000.0
11203,11,47868.0
11205,4,10344.0
11206,14,58167.0
11208,4,
11209,5,5096.0
11210,8,100000.0
11211,11,93533.0
11213,28,
11214,30,200000.0
11215,5,
11216,12,76440.0
11217,8,23208.0
11218,15,135000.0
11219,42,220000.0
11220,26,
11221,10,24300.0
11222,18,13962.0
11223,4,71820.0
11225,6,160000.0
11226,18,140527.0
11227,6,140000.0
11228,11,
11229,9,54000.0
11230,20,
11231,3,
11232,4,
11233,40,
11234,25,107915.0
11235,7,16632.0
11236,5,37620.0
11237,16,127500.0
11239,8,
11240,4,1680.0
11241,1,
11242,7,
11243,14,21996.0
11244,40,
11245,9,6468.0
11247,9,
11248,17,73507.0
11250,8,125000.0
11251,10,49725.0
11252,21,687504.0
11253,10,51888.0
11254,5,3888.0
11255,10,
11256,27,
11257,15,75669.0
11258,40,6756.0
11259,8,76237.0
11260,10,32664.0
11261,6,65000.0
11262,38,72385.0
11263,23,70000.0
11264,15,83194.0
11265,15,31176.0
11266,20,72312.0
11267,5,
11268,10,1675.0
11269,3,
11270,13,79584.0
11271,4,
11272,45,
11273,20,68102.0
11274,1,
11275,30,102693.0
11276,15,73491.0
11277,27,
11278,5,32429.0
11279,11,11867.0
11280,12,3619.0
11281,25,116748.0
11282,14,1421854.0
11283,5,
11284,14,53952.0
11285,26,841800.0
11286,8,7536.0
11287,5,42084.0
11288,11,23352.0
11289,10,9773.0
11290,19,
11291,7,140000.0
11292,23,
11293,12,48000.0
11294,4,5364.0
11295,20,88523.0
11296,6,34596.0
11297,4,
11298,3,
11299,13,
11300,3,
11301,9,134028.0
11302,25,
11303,12,51888.0
11304,10,49725.0
11305,2,
11306,15,7548.0
11307,5,
11308,5,80922.0
11309,18,51888.0
11310,6,200000.0
11311,20,48644.0
11312,3,
11313,5,
11314,3,3288.0
11315,23,89721.0
11316,6,
11317,17,225000.0
11318,5,6696.0
11319,16,
11320,3,
11322,8,34632.0
11323,21,
11324,8,25131.0
11326,18,
11327,17,41520.0
11328,13,75669.0
11329,22,140088.0
11330,3,
11331,8,57623.0
11332,10,
11333,20,80172.0
11334,5,17904.0
11335,5,16536.0
11337,7,6360.0
11338,15,108098.0
11339,5,6696.0
11340,6,
11341,17,18150.0
11342,4,30064.0
11343,12,68076.0
11344,12,
11345,9,5832.0
11347,10,17450.0
11348,7,38532.0
11349,12,13962.0
11350,6,24420.0
11351,5,
11352,40,
11353,20,58167.0
11354,5,
11355,6,
11357,15,34591.0
11358,8,51888.0
11359,27,54000.0
11360,3,
11361,27,98321.0
11362,13,116000.0
11363,5,5305.0
11364,20,66810.0
11365,6,
11366,8,37697.0
11369,2,
11370,4,
11371,23,
11372,2,
11373,5,
11374,7,
11375,20,760000.0
11376,27,116333.0
11377,8,9792.0
11378,31,54049.0
11379,2,
11380,8,708.0
11381,4,
11382,13,1320000.0
11383,2,
11384,3,
11385,6,5864.0
11386,8,86402.0
11387,14,179550.0
11388,4,
11389,6,1536.0
11390,14,
11391,10,27528.0
11392,26,48648.0
11393,10,10368.0
11394,6,25944.0
11397,35,491186.0
11398,20,
11399,5,8556.0
11400,5,3420.0
11401,5,
11403,17,66276.0
11404,12,41796.0
11405,10,16752.0
11407,3,
11408,3,3684.0
11409,8,107915.0
11410,17,78900.0
11411,9,
11413,25,661560.0
11414,8,100214.0
11416,17,
11417,7,42864.0
11418,12,
11419,3,
11420,15,42960.0
11421,22,102693.0
11422,15,64287.0
11423,3,
11424,24,165000.0
11425,11,
11426,5,13264.0
11428,10,
11429,7,
11430,8,
11431,39,
11432,13,8376.0
11433,9,5532.0
11434,24,30372.0
11435,20,
11436,8,7572.0
11437,3,7884.0
11438,9,160000.0
11439,9,9216.0
11440,22,119946.0
11441,10,73000.0
11442,8,55566.0
11443,6,70264.0
11445,3,
11446,12,22800.0
11447,32,93000.0
11448,10,
11449,7,3924.0
11450,9,37968.0
11452,12,
11453,37,103408.0
11454,5,
11455,5,
11456,3,
11457,10,80172.0
11458,30,102276.0
11459,15,78764.0
11460,12,20943.0
11461,7,
11462,10,
11463,22,50400.0
11464,3,
11465,8,42158.0
11467,10,105072.0
11468,7,19512.0
11469,11,73507.0
11470,10,
11471,10,18876.0
11472,4,
11473,5,
11474,8,16752.0
11475,14,108764.0
11476,14,
11477,5,
11478,10,17616.0
11479,8,
11480,12,
11481,8,11724.0
11482,6,
11483,6,12566.0
11484,33,102693.0
11485,10,30576.0
11486,4,
11487,4,3351.0
11489,5,
11490,10,75669.0
11491,10,80000.0
11492,18,56211.0
11493,6,
11494,30,44172.0
11495,25,59676.0
11496,4,
11497,15,
11498,14,
11499,13,3012.0
11500,28,
11501,30,38136.0
11502,2,
11503,5,
11504,5,
11505,4,
11506,13,5700.0
11507,9,
11508,10,6981.0
11509,10,55130.0
11510,20,25131.0
11511,5,
11513,42,69183.0
11514,40,68507.0
11515,1,
11516,10,
11517,13,
11518,3,
11519,10,
11520,15,97288.0
11521,12,368592.0
11522,13,
11523,6,
11524,3,
11526,10,10056.0
11527,15,25020.0
11528,20,66810.0
11529,3,
11530,10,51347.0
11531,7,
11532,15,36012.0
11534,10,48644.0
11535,8,
11536,9,14185.0
11537,5,
11538,3,
11539,20,500000.0
11540,12,31128.0
11541,27,64859.0
11542,5,61292.0
11543,5,21264.0
11545,6,
11546,22,100000.0
11547,33,300000.0
11548,10,
11549,40,77000.0
11550,3,12566.0
11551,10,
11552,23,38916.0
11553,3,
11554,3,
11555,7,12566.0
11556,5,143000.0
11558,4,
11559,12,
11562,8,
11563,3,
11564,3,62774.0
11565,6,35028.0
11566,25,
11568,13,210000.0
11570,5,4020.0
11571,49,
11572,4,
11573,6,
11574,10,
11575,25,51887.0
11576,10,36324.0
11577,15,250000.0
11578,10,6072.0
11580,6,
11581,9,
11582,4,
11584,13,
11585,12,
11586,6,
11587,7,61368.0
11588,20,136000.0
11589,4,
11590,6,604320.0
11591,40,
11592,2,3006450.0
11594,25,
11595,2,
11596,15,98185.0
11597,5,230000.0
11598,4,51804.0
11599,8,57684.0
11600,35,92964.0
11601,5,6981.0
11602,10,
11603,30,106895.0
11604,8,60129.0
11605,9,80278.0
11606,20,14742.0
11608,6,
11609,30,
11610,3,
11611,6,
11612,5,
11613,15,
11614,5,
11615,13,129474.0
11616,8,6283.0
11617,6,5386.0
11618,12,
11619,2,
11620,6,5064.0
11621,8,27240.0
11622,10,50000.0
11623,9,
11624,17,54049.0
11626,13,
11628,4,
11629,15,13740.0
11630,7,100000.0
11631,4,
11633,11,101649.0
11634,17,48936.0
11635,15,36300.0
11637,7,
11638,11,
11639,10,
11640,5,13740.0
11641,5,
11642,11,80172.0
11643,2,
11644,24,64224.0
11645,17,
11646,7,68000.0
11647,4,5712.0
11648,37,95892.0
11649,17,26532.0
11650,6,
11651,9,
11652,12,
11653,1,
11655,25,270250.0
11656,9,
11657,9,52968.0
11658,8,
11659,3,
11660,12,42804.0
11661,13,10284.0
11662,30,
11663,46,
11664,3,
11665,17,69800.0
11666,18,35940.0
11667,9,8376.0
11669,5,47563.0
11670,6,48644.0
11671,35,43536.0
11672,30,
11673,7,5664.0
11674,6,7679.0
11675,14,16754.0
11676,10,20760.0
11677,8,
11678,1,
11679,10,15912.0
11680,33,91883.0
11682,7,
11683,10,12566.0
11684,4,8568.0
11685,6,27948.0
11686,30,61366.0
11687,10,52968.0
11688,10,331992.0
11689,4,
11691,8,
11692,8,1553688.0
11693,5,
11694,7,
11696,7,
11697,6,
11698,19,45396.0
11699,16,
11700,8,
11701,20,88640.0
11702,5,12564.0
11703,6,6696.0
11704,6,
11705,17,110000.0
11706,2,
11707,21,64859.0
11708,4,
11709,4,9075.0
11710,21,41597.0
11711,1,41098.0
11712,20,
11713,20,64859.0
11714,5,
11715,30,
11716,6,20943.0
11717,10,73491.0
11718,5,
11720,25,158826.0
11721,8,
11722,6,41004.0
11723,12,
11724,3,
11725,5,14748.0
11726,5,4188.0
11727,25,
11728,4,64860.0
11729,2,
11730,17,
11731,3,
11732,10,
11733,6,19546.0
11734,1,
11735,6,11328.0
11736,3,70000.0
11738,10,35028.0
11739,5,9773.0
11740,25,
11741,18,66480.0
11743,5,
11744,2,
11745,6,121391.0
11746,8,19546.0
11747,30,
11748,16,86478.0
11749,6,8868.0
11750,11,
11751,4,
11752,17,43788.0
11754,10,59454.0
11755,16,60324.0
11756,10,97106.0
11757,5,
11758,10,20352.0
11759,11,21192.0
11760,6,
11761,8,9888.0
11763,20,97536.0
11764,3,42024.0
11765,12,
11766,5,
11768,10,48000.0
11769,5,
11770,7,68102.0
11772,2,
11774,12,131100.0
11775,20,37834.0
11776,16,73074.0
11777,24,281055.0
11779,25,500000.0
11780,15,101649.0
11781,21,190000.0
11782,17,
11783,7,
11785,2,2880.0
11786,4,46788.0
11787,30,97106.0
11788,7,
11789,21,72408.0
11790,20,165000.0
11791,10,30372.0
11792,10,23088.0
11793,6,19956.0
11795,12,59454.0
11796,7,
11797,11,250000.0
11798,14,25476.0
11799,1,
11800,11,31836.0
11801,11,1282740.0
11802,31,71381.0
11804,30,118908.0
11805,20,603144.0
11806,10,45396.0
11807,4,
11808,20,
11810,7,60505.0
11811,30,38916.0
11812,12,62697.0
11813,2,
11814,12,68190.0
11815,9,43537.0
11816,3,
11817,3,
11819,26,
11820,6,135000.0
11821,4,
11822,5,12566.0
11823,8,36024.0
11825,9,27025.0
11826,1,
11827,11,34904.0
11828,5,
11829,2,
11830,19,36420.0
11831,4,38915.0
11832,12,58050.0
11833,5,
11834,11,
11835,2,
11836,19,63792.0
11837,11,
11838,9,35972.0
11841,2,2508.0
11842,8,22339.0
11843,7,
11844,34,
11845,16,8712.0
11846,15,
11847,13,16080.0
11848,10,
11849,4,
11850,5,
11851,28,9540.0
11852,15,
11853,16,200000.0
11854,28,41520.0
11855,3,
11856,8,42804.0
11858,30,31128.0
11859,8,
11860,5,
11861,3,10932.0
11862,11,
11863,43,
11864,14,111814.0
11865,11,80922.0
11866,10,
11867,14,10992.0
11869,6,
11870,20,77832.0
11871,4,
11872,12,59454.0
11873,6,48792.0
11874,4,
11875,15,11724.0
11876,14,
11877,3,
11878,3,
11879,16,42468.0
11881,5,
11882,11,
11883,5,95000.0
11884,9,66000.0
11886,11,
11887,4,12816.0
11888,8,
11889,8,31128.0
11890,17,64860.0
11891,9,
11892,6,
11893,8,37716.0
11894,7,22644.0
11895,5,
11896,13,81074.0
11897,20,31356.0
11898,32,
11899,8,32424.0
11900,12,
11901,13,17412.0
11902,10,72636.0
11903,8,32112.0
11904,21,120257.0
11905,12,
11906,7,
11907,14,
11908,14,19740.0
11909,6,
11910,10,58548.0
11911,12,9948.0
11912,22,32429.0
11913,20,89929.0
11914,4,
11915,9,45408.0
11916,14,13032.0
11917,3,10956.0
11918,5,
11919,8,
11920,1,
11921,20,97200.0
11922,3,
11923,8,971064.0
11924,8,70368.0
11925,15,
11926,10,16752.0
11928,23,75669.0
11929,15,
11930,3,
11931,8,155664.0
11933,4,
11935,2,
11936,20,99456.0
11937,25,48644.0
11938,6,4800.0
11939,7,86604.0
11940,20,
11942,6,
11943,6,
11944,2,
11945,18,
11946,12,21780.0
11950,11,260000.0
11951,7,
11952,10,27756.0
11953,20,
11954,14,
11955,6,10020.0
11956,10,41508.0
11957,2,
11958,7,40500.0
11959,4,28308.0
11960,10,76831.0
11961,28,304836.0
11962,6,
11963,10,3420.0
11964,8,34741.0
11965,8,41077.0
11966,20,33504.0
11967,17,81074.0
11968,7,47826.0
11969,17,151350.0
11970,7,
11971,12,36972.0
11972,14,36444.0
11973,6,
11974,7,170000.0
11975,5,5026.0
11976,4,
11977,7,2964.0
11978,10,33508.0
11979,9,55160.0
11980,13,66828.0
11982,5,2508.0
11983,11,85000.0
11985,14,76992.0
11986,4,
11987,5,
11988,5,55224.0
11989,2,
11990,3,
11991,19,61806.0
11993,10,44100.0
11994,4,
11995,5,2508.0
11996,10,16752.0
11997,15,47563.0
11999,42,77556.0
12000,4,
12001,10,20784.0
12002,13,250000.0
12003,13,61368.0
12004,8,15000.0
12005,12,25131.0
12006,20,35508.0
12008,5,5868.0
12009,8,19546.0
12010,5,19452.0
12011,3,6696.0
12012,24,52596.0
12013,20,84316.0
12014,9,103682.0
12015,2,
12016,13,53376.0
12017,20,71340.0
12018,18,
12019,5,22339.0
12020,4,
12021,5,
12022,2,
12023,20,
12024,4,23208.0
12025,30,388000.0
12026,15,3000000.0
12027,10,
12029,13,43780.0
12030,10,43692.0
12031,15,
12032,10,33508.0
12033,8,12036.0
12034,5,8376.0
12036,10,102882.0
12037,12,59454.0
12038,9,35650.0
12039,7,250000.0
12040,13,64860.0
12041,7,27923.0
12042,3,10052.0
12043,5,
12044,8,19728.0
12045,17,
12046,4,
12047,2,
12048,7,125000.0
12049,6,
12052,2,
12053,47,1080981.0
12054,4,8136.0
12055,20,47788.0
12056,6,13962.0
12057,7,
12058,7,16752.0
12059,7,46482.0
12060,3,19596.0
12061,3,150000.0
12062,2,
12063,5,29186.0
12064,8,56196.0
12065,3,4644.0
12067,7,85104.0
12068,11,108098.0
12069,20,18156.0
12070,16,51888.0
12071,3,
12072,14,841584.0
12073,10,64860.0
12074,6,
12075,14,48479.0
12076,7,22512.0
12077,13,
12078,32,86935.0
12079,2,
12080,13,400000.0
12081,2,
12082,3,
12083,13,
12084,26,38916.0
12085,12,13740.0
12086,26,77831.0
12088,10,16752.0
12089,21,58373.0
12090,5,
12091,20,62268.0
12092,18,40100.0
12094,9,135000.0
12095,8,20943.0
12096,2,
12097,11,45396.0
12098,16,168108.0
12099,3,
12100,13,
12101,2,
12102,15,
12103,13,
12104,5,16754.0
12105,4,
12106,36,2171556.0
12107,19,
12108,7,64737.0
