,YearsCode,ConvertedCompYearly
474,6,40212.0
475,7,90758.0
476,8,15408.0
477,7,54224.0
478,11,81319.0
479,35,
481,22,85000.0
482,6,64859.0
483,20,279774.0
484,6,
485,35,62268.0
486,5,
487,12,31750.0
488,13,
489,6,100000.0
491,5,92000.0
492,10,34591.0
493,20,92500.0
494,15,135000.0
495,9,71093.0
497,9,
498,8,42756.0
499,8,150000.0
500,21,65000.0
501,18,25944.0
502,33,
503,25,64859.0
504,20,48644.0
505,9,2659212.0
506,4,5028.0
507,4,
508,40,
509,10,16416.0
510,15,
511,14,
512,10,35672.0
513,7,
514,12,64860.0
515,6,
516,10,59454.0
517,8,
518,12,45396.0
520,10,
521,12,
522,28,19452.0
523,3,22212.0
524,18,60000.0
525,4,
526,39,110000.0
528,15,53832.0
529,11,
532,7,18080.0
533,11,31128.0
534,16,96204.0
535,6,5448.0
536,15,88640.0
537,5,
538,6,20539.0
539,40,190000.0
540,30,49765.0
541,13,48644.0
542,6,
543,10,
544,14,57765.0
545,6,40000.0
546,6,37440.0
547,16,83194.0
548,37,
549,4,
550,8,
551,2,
552,10,430000.0
553,5,
554,3,11724.0
555,1,
556,20,111814.0
557,12,
558,6,
559,41,
560,5,133000.0
561,2,
562,23,69183.0
563,33,247764.0
564,20,64737.0
565,13,47563.0
566,16,118908.0
567,8,
568,7,
569,12,69183.0
570,10,
571,10,29320.0
572,15,
573,3,
574,12,
575,6,
576,22,70264.0
577,1,4008.0
578,15,
579,12,150000.0
580,30,51888.0
581,22,64859.0
582,30,59454.0
583,15,
584,20,78750.0
585,13,36753.0
586,3,6981.0
587,25,125000.0
588,17,63854.0
589,8,
590,4,
591,14,123984.0
592,20,
593,7,
594,13,25944.0
595,4,2508.0
596,13,46482.0
598,9,7788.0
599,4,
600,11,
601,9,
602,7,
603,8,72000.0
605,34,152473.0
606,23,
607,3,35672.0
608,7,
609,12,85908.0
610,10,
611,9,27144.0
612,28,
614,4,8376.0
615,11,86478.0
616,13,
617,13,45564.0
618,16,134028.0
619,40,98000.0
620,17,36708.0
621,21,54049.0
624,20,73500.0
625,27,56211.0
626,8,
627,18,
628,12,
629,13,60744.0
630,5,
631,8,5208.0
632,36,183767.0
633,5,
634,11,25128.0
636,3,
637,17,49725.0
638,13,36324.0
639,3,82000.0
640,1,
641,7,
642,12,105000.0
644,6,
645,17,
646,25,59454.0
647,2,
648,2,
649,5,1512650.0
650,4,28437.0
651,4,41004.0
652,25,101612.0
653,11,
654,15,135000.0
655,6,31332.0
656,8,
657,10,50806.0
658,3,
659,6,
660,6,41077.0
661,3,24912.0
662,7,45401.0
663,12,37620.0
664,30,
666,15,200000.0
667,1,
668,11,40489.0
669,20,58000.0
670,20,
671,2,12828.0
672,7,48472.0
673,7,27528.0
674,4,
675,8,19389.0
676,11,43239.0
677,12,16215.0
678,10,35676.0
