,Age1stCode,All Dev Median Salary,Py Dev Median Salary,Js Dev Median Salary
0,Younger than 5 years,48103.5,86478.0,49765.0
1,11 - 17 years,58368.0,59454.0,55130.0
2,18 - 24 years,41508.0,45379.0,39394.0
3,25 - 34 years,50806.0,56669.5,48000.0
4,35 - 44 years,68068.0,75000.0,64860.0
5,45 - 54 years,79128.0,90000.0,80787.0
6,5 - 10 years,75631.0,77831.0,72326.5
7,55 - 64 years,84312.0,85395.0,90261.0
8,Older than 64 years,80100.0,86671.5,76750.0
